Sample Name,Cpd,CAS,Name,Hits,Abund,Mining Algorithm,Area,Base Peak,Mass,Avg Mass,Score,m/z,m/z (prod.),RT,Start,End,Width,"Diff (Tgt, mDa)","Diff (Tgt, ppm)",Score (Tgt),Flags (Tgt),Flag Severity (Tgt),Flag Severity Code (Tgt),Mass (Tgt),RT (Tgt),RT Diff (Tgt),Sample Type,Formula,Height,Ions,Polarity,Z Count,Max Z,Min Z,Label,File,Instrument Name,Position,User Name,Acq Method,DA Method,IRM Calibration status
MeOH Blank,1,,Ethyl Centralite,1,2448206,Find by Formula,1031623,269.1647,268.1573,,99.11,269.1647,,8.176,8.168,8.242,0.139,-0.22,-0.82,99.11,,Pass,0,268.1576,,,Sample,C17 H20 N2 O,337529,5,Positive,1,1,1,Cpd 1: Ethyl Centralite; C17 H20 N2 O; 8.176,MeOH_Blank_200128-0001.d,Instrument 1,P2-A1,Dominic Davis-Foster,Benito Gunshot Residue Positive.m,QualMethod.m,Success
MeOH Blank,2,,Diethyl Phthalate,1,13166,Find by Formula,1862761,196.0524,222.0870,,66.58,245.0761,,11.285,10.814,12.203,1.232,-2.22,-9.97,66.58,low score; No H adduct,Warning,2,222.0892,,,Sample,C12 H14 O4,39269,2,Positive,1,1,1,Cpd 2: Diethyl Phthalate; C12 H14 O4; 11.285,MeOH_Blank_200128-0001.d,Instrument 1,P2-A1,Dominic Davis-Foster,Benito Gunshot Residue Positive.m,QualMethod.m,Success
MeOH Blank,3,,Nitrobenzene,1,358119,Find by Formula,646691,223.1690,123.0321,,87.84,124.0394,,14.651,14.328,14.824,0.841,0.08,0.68,87.84,,Pass,0,123.0320,,,Sample,C6 H5 N O2,36445,3,Positive,1,1,1,Cpd 3: Nitrobenzene; C6 H5 N O2; 14.651,MeOH_Blank_200128-0001.d,Instrument 1,P2-A1,Dominic Davis-Foster,Benito Gunshot Residue Positive.m,QualMethod.m,Success
Propellant Standard 0.1ug/mL (1),1,,Ethyl Centralite,1,2653166,Find by Formula,8412321,269.1651,268.1578,,99.30,269.1651,,2.515,2.419,2.687,0.114,0.19,0.71,99.30,,Pass,0,268.1576,,,Sample,C17 H20 N2 O,1125799,3,Positive,1,1,1,Cpd 1: Ethyl Centralite; C17 H20 N2 O; 2.515,Propellant_Std_0.1ug_1_200128-0006.d,Instrument 1,P2-A3,Dominic Davis-Foster,Benito Gunshot Residue Positive.m,QualMethod.m,Success
Propellant Standard 0.1ug/mL (1),2,,Nitrobenzene,1,443129,Find by Formula,8041464,679.5146,123.0320,,87.87,124.0393,,9.072,8.758,9.940,0.984,-0.01,-0.07,87.87,,Pass,0,123.0320,,,Sample,C6 H5 N O2,221895,2,Positive,1,1,1,Cpd 2: Nitrobenzene; C6 H5 N O2; 9.072,Propellant_Std_0.1ug_1_200128-0006.d,Instrument 1,P2-A3,Dominic Davis-Foster,Benito Gunshot Residue Positive.m,QualMethod.m,Success
Propellant Standard 0.1ug/mL (2),1,,Ethyl Centralite,1,2432415,Find by Formula,9072394,679.5190,268.1575,,99.19,269.1649,,8.832,8.716,8.972,0.223,-0.02,-0.08,99.19,,Pass,0,268.1576,,,Sample,C17 H20 N2 O,736218,3,Positive,1,1,1,Cpd 1: Ethyl Centralite; C17 H20 N2 O; 8.832,Propellant_Std_0.1ug_2_200128-0007.d,Instrument 1,P2-A3,Dominic Davis-Foster,Benito Gunshot Residue Positive.m,QualMethod.m,Success
Propellant Standard 0.1ug/mL (2),2,,Nitrobenzene,1,433062,Find by Formula,11417640,679.5150,123.0320,,99.80,124.0393,,9.138,8.726,9.965,1.079,0.00,0.02,99.80,,Pass,0,123.0320,,,Sample,C6 H5 N O2,249022,3,Positive,1,1,1,Cpd 2: Nitrobenzene; C6 H5 N O2; 9.138,Propellant_Std_0.1ug_2_200128-0007.d,Instrument 1,P2-A3,Dominic Davis-Foster,Benito Gunshot Residue Positive.m,QualMethod.m,Success
Propellant Standard 10ug/mL DG 14,1,,Nitrobenzene,1,530231,Find by Formula,13309101,679.5146,123.0320,,87.80,124.0393,,9.167,8.746,9.978,1.051,-0.02,-0.20,87.80,,Pass,0,123.0320,,,Sample,C6 H5 N O2,308924,3,Positive,1,1,1,Cpd 1: Nitrobenzene; C6 H5 N O2; 9.167,Propellant_Std_10ug_DG14_200128-0003.d,Instrument 1,P2-A2,Dominic Davis-Foster,Benito Gunshot Residue Positive.m,QualMethod.m,Success
Propellant Standard 10ug/mL GT 200,1,,Ethyl Centralite,1,2608848,Find by Formula,67465407,269.1650,268.1577,,99.33,269.1650,,7.746,6.709,7.961,0.801,0.12,0.44,99.33,,Pass,0,268.1576,,,Sample,C17 H20 N2 O,1616305,3,Positive,1,1,1,Cpd 1: Ethyl Centralite; C17 H20 N2 O; 7.746,Propellant_Std_10ug_GT200_200128-0004.d,Instrument 1,P2-A2,Dominic Davis-Foster,Benito Gunshot Residue Positive.m,QualMethod.m,Success
Propellant Standard 10ug/mL GT 200,2,,Nitrobenzene,1,470089,Find by Formula,12446944,679.5147,123.0320,,87.85,124.0393,,9.111,8.751,9.961,1.035,0.01,0.09,87.85,,Pass,0,123.0320,,,Sample,C6 H5 N O2,288414,2,Positive,1,1,1,Cpd 2: Nitrobenzene; C6 H5 N O2; 9.111,Propellant_Std_10ug_GT200_200128-0004.d,Instrument 1,P2-A2,Dominic Davis-Foster,Benito Gunshot Residue Positive.m,QualMethod.m,Success
Propellant Standard 10ug/mL NEB 35,1,,Ethyl Centralite,1,2434987,Find by Formula,1127322,269.1649,268.1577,,99.19,269.1649,,6.858,6.742,6.904,0.072,0.12,0.43,99.19,,Pass,0,268.1576,,,Sample,C17 H20 N2 O,186647,5,Positive,1,1,1,Cpd 1: Ethyl Centralite; C17 H20 N2 O; 6.858,Propellant_Std_10ug_NEB35_200128-0005.d,Instrument 1,P2-A2,Dominic Davis-Foster,Benito Gunshot Residue Positive.m,QualMethod.m,Success
Propellant Standard 10ug/mL NEB 35,2,,Nitrobenzene,1,395992,Find by Formula,10682576,679.5154,123.0321,,87.88,124.0393,,9.099,8.722,9.955,0.989,0.04,0.29,87.88,,Pass,0,123.0320,,,Sample,C6 H5 N O2,243824,2,Positive,1,1,1,Cpd 2: Nitrobenzene; C6 H5 N O2; 9.099,Propellant_Std_10ug_NEB35_200128-0005.d,Instrument 1,P2-A2,Dominic Davis-Foster,Benito Gunshot Residue Positive.m,QualMethod.m,Success
Propellant Standard 10ug/mL,1,,Ethyl Centralite,1,2642351,Find by Formula,1853751,269.1650,268.1577,,99.27,269.1650,,5.700,5.642,5.791,0.095,0.10,0.37,99.27,,Pass,0,268.1576,,,Sample,C17 H20 N2 O,380490,3,Positive,1,1,1,Cpd 1: Ethyl Centralite; C17 H20 N2 O; 5.700,Propellant_Std_10ug_normal_200128-0002.d,Instrument 1,P2-A2,Dominic Davis-Foster,Benito Gunshot Residue Positive.m,QualMethod.m,Success
Propellant Standard 10ug/mL,2,,Nitrobenzene,1,437038,Find by Formula,2421119,269.1664,123.0321,,87.86,124.0394,,8.561,8.396,8.693,0.390,0.06,0.51,87.86,,Pass,0,123.0320,,,Sample,C6 H5 N O2,211363,2,Positive,1,1,1,Cpd 2: Nitrobenzene; C6 H5 N O2; 8.561,Propellant_Std_10ug_normal_200128-0002.d,Instrument 1,P2-A2,Dominic Davis-Foster,Benito Gunshot Residue Positive.m,QualMethod.m,Success
