Sample Name,Cpd,CAS,Name,Hits,Abund,Mining Algorithm,Area,Base Peak,Mass,Avg Mass,Score,m/z,m/z (prod.),RT,Start,End,Width,"Diff (Tgt, mDa)","Diff (Tgt, ppm)",Score (Tgt),Flags (Tgt),Flag Severity (Tgt),Flag Severity Code (Tgt),Mass (Tgt),RT (Tgt),RT Diff (Tgt),Sample Type,Formula,Height,Ions,Polarity,Z Count,Max Z,Min Z,Label,File,Instrument Name,Position,User Name,Acq Method,DA Method,IRM Calibration status
DPA 10ug/mL - new mix - different method (1),1,,Diphenylamine,1,890559,Find by Formula,29388223,559.1329,169.0893,,99.79,170.0965,,13.649,13.476,14.066,0.128,0.12,0.72,99.79,,Pass,0,169.0891,,,Sample,C12 H11 N,3377289,4,Positive,1,1,1,Cpd 1: Diphenylamine; C12 H11 N; 13.649,DPA_10ug_ml_new_diff_method_1_200303-0002.d,Instrument 1,P2-B3,Dominic Davis-Foster,Based on Cannabinoids in Urine.m,QualMethod.m,Success
DPA 10ug/mL - new mix - different method (1),2,,Ethyl Centralite,1,88594,Find by Formula,1588529,559.1317,268.1578,,86.30,269.1651,,13.954,13.830,14.222,0.136,0.22,0.82,86.30,,Pass,0,268.1576,,,Sample,C17 H20 N2 O,172171,2,Positive,1,1,1,Cpd 2: Ethyl Centralite; C17 H20 N2 O; 13.954,DPA_10ug_ml_new_diff_method_1_200303-0002.d,Instrument 1,P2-B3,Dominic Davis-Foster,Based on Cannabinoids in Urine.m,QualMethod.m,Success
DPA 10ug/mL - new mix - different method (1),3,,PETN,1,2955,Find by Formula,32148,393.2475,316.0139,,56.24,339.0037,,6.737,6.725,7.118,0.655,0.08,0.24,56.24,low score; No H adduct,Warning,2,316.0139,,,Sample,C5 H8 N4 O12,3401,2,Positive,1,1,1,Cpd 3: PETN; C5 H8 N4 O12; 6.737,DPA_10ug_ml_new_diff_method_1_200303-0002.d,Instrument 1,P2-B3,Dominic Davis-Foster,Based on Cannabinoids in Urine.m,QualMethod.m,Success
DPA 10ug/mL - new mix - different method (1),4,,HMX,1,1907,Find by Formula,75021,122.0964,296.0474,,82.53,319.0367,,11.361,11.125,11.788,8.779,0.91,3.08,82.53,No H adduct,Warning,2,296.0465,,,Sample,C4 H8 N8 O8,3479,3,Positive,1,1,1,Cpd 4: HMX; C4 H8 N8 O8; 11.361,DPA_10ug_ml_new_diff_method_1_200303-0002.d,Instrument 1,P2-B3,Dominic Davis-Foster,Based on Cannabinoids in Urine.m,QualMethod.m,Success
DPA 10ug/mL - new mix - different method (1),5,,Nitroguanidine,1,1372,Find by Formula,2772,409.1624,104.0338,,60.62,105.0409,,11.889,11.855,11.900,11.748,0.39,3.79,60.62,low score,Warning,2,104.0334,,,Sample,C H4 N4 O2,1587,2,Positive,1,1,1,Cpd 5: Nitroguanidine; C H4 N4 O2; 11.889,DPA_10ug_ml_new_diff_method_1_200303-0002.d,Instrument 1,P2-B3,Dominic Davis-Foster,Based on Cannabinoids in Urine.m,QualMethod.m,Success
DPA 10ug/mL - new mix - different method (1),6,,Dimethyl Phthalate,1,1287,Find by Formula,99938,122.0963,194.0562,,62.90,217.0466,,12.236,12.147,12.483,0.159,-1.66,-8.58,62.90,low score,Warning,2,194.0579,,,Sample,C10 H10 O4,10242,4,Positive,1,1,1,Cpd 6: Dimethyl Phthalate; C10 H10 O4; 12.236,DPA_10ug_ml_new_diff_method_1_200303-0002.d,Instrument 1,P2-B3,Dominic Davis-Foster,Based on Cannabinoids in Urine.m,QualMethod.m,Success
DPA 10ug/mL - new mix - different method (1),7,,Diethyl Phthalate,1,2610,Find by Formula,7132714,122.0962,222.0887,,59.71,245.0764,,7.870,6.490,10.800,0.585,-0.48,-2.16,59.71,low score,Warning,2,222.0892,,,Sample,C12 H14 O4,87891,6,Positive,1,1,1,Cpd 7: Diethyl Phthalate; C12 H14 O4; 7.870,DPA_10ug_ml_new_diff_method_1_200303-0002.d,Instrument 1,P2-B3,Dominic Davis-Foster,Based on Cannabinoids in Urine.m,QualMethod.m,Success
DPA 10ug/mL - new mix - different method (1),8,,Nitrobenzene,1,1989,Find by Formula,59100,122.0964,123.0317,,87.15,146.0211,,3.774,3.751,3.929,0.247,-0.29,-2.37,87.15,,Pass,0,123.0320,,,Sample,C6 H5 N O2,18365,4,Positive,1,1,1,Cpd 8: Nitrobenzene; C6 H5 N O2; 3.774,DPA_10ug_ml_new_diff_method_1_200303-0002.d,Instrument 1,P2-B3,Dominic Davis-Foster,Based on Cannabinoids in Urine.m,QualMethod.m,Success
DPA 10ug/mL - new mix  - different method (2),1,,Diphenylamine,1,817188,Find by Formula,29698041,628.1969,169.0892,,99.90,170.0965,,13.635,13.492,14.042,0.125,0.06,0.34,99.90,,Pass,0,169.0891,,,Sample,C12 H11 N,3529458,3,Positive,1,1,1,Cpd 1: Diphenylamine; C12 H11 N; 13.635,DPA_10ug_ml_new_diff_method_2_200303-0003.d,Instrument 1,P2-B3,Dominic Davis-Foster,Based on Cannabinoids in Urine.m,QualMethod.m,Success
DPA 10ug/mL - new mix  - different method (2),2,,Ethyl Centralite,1,91398,Find by Formula,1656940,628.1957,268.1578,,86.36,269.1651,,13.963,13.830,14.210,0.133,0.29,1.06,86.36,,Pass,0,268.1576,,,Sample,C17 H20 N2 O,181257,2,Positive,1,1,1,Cpd 2: Ethyl Centralite; C17 H20 N2 O; 13.963,DPA_10ug_ml_new_diff_method_2_200303-0003.d,Instrument 1,P2-B3,Dominic Davis-Foster,Based on Cannabinoids in Urine.m,QualMethod.m,Success
