Sample Name,Cpd,CAS,Name,Hits,Abund,Mining Algorithm,Area,Base Peak,Mass,Avg Mass,Score,m/z,m/z (prod.),RT,Start,End,Width,"Diff (Tgt, mDa)","Diff (Tgt, ppm)",Score (Tgt),Flags (Tgt),Flag Severity (Tgt),Flag Severity Code (Tgt),Mass (Tgt),RT (Tgt),RT Diff (Tgt),Sample Type,Formula,Height,Ions,Polarity,Z Count,Max Z,Min Z,Label,File,Instrument Name,Position,User Name,Acq Method,DA Method,IRM Calibration status
DPA 10ug/mL  - different method (1),1,,Diphenylamine,1,718294,Find by Formula,35505941,223.1698,169.0891,,98.86,170.0962,,13.632,13.489,14.151,0.136,-0.10,-0.58,98.86,,Pass,0,169.0891,,,Sample,C12 H11 N,3962179,3,Positive,1,1,1,Cpd 1: Diphenylamine; C12 H11 N; 13.632,DPA_10ug_ml_diff_method_1_200221-0008.d,Instrument 1,P2-A3,Dominic Davis-Foster,Based on Cannabinoids in Urine.m,QualMethod.m,Success
DPA 10ug/mL  - different method (1),2,,Ethyl Centralite,1,129366,Find by Formula,2245081,663.4539,268.1583,,83.65,269.1655,,13.985,13.853,14.250,0.150,0.75,2.78,83.65,,Pass,0,268.1576,,,Sample,C17 H20 N2 O,231426,3,Positive,1,1,1,Cpd 2: Ethyl Centralite; C17 H20 N2 O; 13.985,DPA_10ug_ml_diff_method_1_200221-0008.d,Instrument 1,P2-A3,Dominic Davis-Foster,Based on Cannabinoids in Urine.m,QualMethod.m,Success
DPA 10ug/mL  - different method (1),3,,HMX,1,2770,Find by Formula,30746,112.0504,296.0453,,60.20,297.0532,,2.710,2.622,2.799,0.850,-1.18,-3.99,60.20,low score,Warning,2,296.0465,,,Sample,C4 H8 N8 O8,4965,2,Positive,1,1,1,Cpd 3: HMX; C4 H8 N8 O8; 2.710,DPA_10ug_ml_diff_method_1_200221-0008.d,Instrument 1,P2-A3,Dominic Davis-Foster,Based on Cannabinoids in Urine.m,QualMethod.m,Success
DPA 10ug/mL  - different method (1),4,,Diethyl Phthalate,1,4972,Find by Formula,33600,663.4543,222.0891,,75.99,223.0971,,14.250,14.173,14.272,0.206,-0.11,-0.50,75.99,,Pass,0,222.0892,,,Sample,C12 H14 O4,8350,3,Positive,1,1,1,Cpd 4: Diethyl Phthalate; C12 H14 O4; 14.250,DPA_10ug_ml_diff_method_1_200221-0008.d,Instrument 1,P2-A3,Dominic Davis-Foster,Based on Cannabinoids in Urine.m,QualMethod.m,Success
DPA 10ug/mL  - different method (1),5,,Nitrobenzene,1,374695,Find by Formula,27399881,112.0504,123.0321,,99.74,124.0393,,2.423,0.824,2.852,2.267,0.11,0.86,99.74,,Pass,0,123.0320,,,Sample,C6 H5 N O2,392414,5,Positive,1,1,1,Cpd 5: Nitrobenzene; C6 H5 N O2; 2.423,DPA_10ug_ml_diff_method_1_200221-0008.d,Instrument 1,P2-A3,Dominic Davis-Foster,Based on Cannabinoids in Urine.m,QualMethod.m,Success
DPA 10ug/mL  - different method (2),1,,Diphenylamine,1,730452,Find by Formula,36081860,663.4549,169.0891,,98.84,170.0962,,13.619,13.465,14.215,0.136,-0.09,-0.52,98.84,,Pass,0,169.0891,,,Sample,C12 H11 N,4038438,3,Positive,1,1,1,Cpd 1: Diphenylamine; C12 H11 N; 13.619,DPA_10ug_ml_diff_method_2_200221-0009.d,Instrument 1,P2-A3,Dominic Davis-Foster,Based on Cannabinoids in Urine.m,QualMethod.m,Success
DPA 10ug/mL  - different method (2),2,,Ethyl Centralite,1,116677,Find by Formula,2038590,663.4558,268.1583,,83.42,269.1655,,13.961,13.840,14.237,0.148,0.72,2.70,83.42,,Pass,0,268.1576,,,Sample,C17 H20 N2 O,210366,2,Positive,1,1,1,Cpd 2: Ethyl Centralite; C17 H20 N2 O; 13.961,DPA_10ug_ml_diff_method_2_200221-0009.d,Instrument 1,P2-A3,Dominic Davis-Foster,Based on Cannabinoids in Urine.m,QualMethod.m,Success
DPA 10ug/mL  - different method (2),3,,Dimethyl Phthalate,1,7121,Find by Formula,617527,112.0504,194.0593,,57.83,212.0932,,2.477,1.682,2.774,2.609,1.34,6.93,57.83,low score; No H adduct,Warning,2,194.0579,,,Sample,C10 H10 O4,15314,2,Positive,1,1,1,Cpd 3: Dimethyl Phthalate; C10 H10 O4; 2.477,DPA_10ug_ml_diff_method_2_200221-0009.d,Instrument 1,P2-A3,Dominic Davis-Foster,Based on Cannabinoids in Urine.m,QualMethod.m,Success
DPA 10ug/mL  - different method (2),4,,Diethyl Phthalate,1,48756,Find by Formula,2716657,114.0915,222.0873,,57.57,223.0952,,7.849,7.187,8.158,0.629,-1.89,-8.51,57.57,low score,Warning,2,222.0892,,,Sample,C12 H14 O4,74452,4,Positive,1,1,1,Cpd 4: Diethyl Phthalate; C12 H14 O4; 7.849,DPA_10ug_ml_diff_method_2_200221-0009.d,Instrument 1,P2-A3,Dominic Davis-Foster,Based on Cannabinoids in Urine.m,QualMethod.m,Success
DPA 10ug/mL  - different method (2),5,,"2,4-Dinitrodiphenylamine",1,8733,Find by Formula,1187139,112.0504,259.0599,,75.30,277.0948,,6.415,3.574,6.424,2.764,0.61,2.35,75.30,,Pass,0,259.0593,,,Sample,C12 H9 N3 O4,13223,4,Positive,1,1,1,"Cpd 5: 2,4-Dinitrodiphenylamine; C12 H9 N3 O4; 6.415",DPA_10ug_ml_diff_method_2_200221-0009.d,Instrument 1,P2-A3,Dominic Davis-Foster,Based on Cannabinoids in Urine.m,QualMethod.m,Success
DPA 10ug/mL  - different method (2),6,,Nitrobenzene,1,564964,Find by Formula,3300008,112.0505,123.0320,,99.60,124.0393,,3.536,3.447,3.911,0.358,0.02,0.16,99.60,,Pass,0,123.0320,,,Sample,C6 H5 N O2,187925,5,Positive,1,1,1,Cpd 6: Nitrobenzene; C6 H5 N O2; 3.536,DPA_10ug_ml_diff_method_2_200221-0009.d,Instrument 1,P2-A3,Dominic Davis-Foster,Based on Cannabinoids in Urine.m,QualMethod.m,Success
MeOH Blank - different method,1,,Ethyl Centralite,1,71346,Find by Formula,1286153,711.2854,268.1578,,83.68,269.1639,,13.990,13.887,14.299,0.138,0.27,1.02,83.68,,Pass,0,268.1576,,,Sample,C17 H20 N2 O,133227,4,Positive,1,1,1,Cpd 1: Ethyl Centralite; C17 H20 N2 O; 13.990,MeOH_Blank_diff_method_200221-0001.d,Instrument 1,P2-A1,Dominic Davis-Foster,Based on Cannabinoids in Urine.m,QualMethod.m,Some Ions Missed
MeOH Blank - different method,2,,PETN,1,10475,Find by Formula,490602,453.3522,316.0147,,71.98,339.0039,,6.687,6.610,8.154,2.776,0.80,2.54,71.98,low score,Warning,2,316.0139,,,Sample,C5 H8 N4 O12,8436,3,Positive,1,1,1,Cpd 2: PETN; C5 H8 N4 O12; 6.687,MeOH_Blank_diff_method_200221-0001.d,Instrument 1,P2-A1,Dominic Davis-Foster,Based on Cannabinoids in Urine.m,QualMethod.m,Some Ions Missed
MeOH Blank - different method,3,,HMX,1,3551,Find by Formula,103667,435.1684,296.0439,,63.20,319.0329,,11.420,11.100,11.618,10.625,-2.59,-8.73,63.20,low score; No H adduct,Warning,2,296.0465,,,Sample,C4 H8 N8 O8,5850,3,Positive,1,1,1,Cpd 3: HMX; C4 H8 N8 O8; 11.420,MeOH_Blank_diff_method_200221-0001.d,Instrument 1,P2-A1,Dominic Davis-Foster,Based on Cannabinoids in Urine.m,QualMethod.m,Some Ions Missed
MeOH Blank - different method,4,,Diethyl Phthalate,1,14109,Find by Formula,209596,437.1969,222.0887,,80.97,223.0959,,12.611,12.498,12.819,0.149,-0.55,-2.46,80.97,,Pass,0,222.0892,,,Sample,C12 H14 O4,23048,4,Positive,1,1,1,Cpd 4: Diethyl Phthalate; C12 H14 O4; 12.611,MeOH_Blank_diff_method_200221-0001.d,Instrument 1,P2-A1,Dominic Davis-Foster,Based on Cannabinoids in Urine.m,QualMethod.m,Some Ions Missed
MeOH Blank - different method,5,,Nitrobenzene,1,98135,Find by Formula,1205938,409.1641,123.0321,,99.69,124.0393,,11.938,11.850,12.048,0.186,0.06,0.46,99.69,,Pass,0,123.0320,,,Sample,C6 H5 N O2,125244,3,Positive,1,1,1,Cpd 5: Nitrobenzene; C6 H5 N O2; 11.938,MeOH_Blank_diff_method_200221-0001.d,Instrument 1,P2-A1,Dominic Davis-Foster,Based on Cannabinoids in Urine.m,QualMethod.m,Some Ions Missed
MeOH Blank - different method,6,,Phenazine,1,18791,Find by Formula,23993,225.1888,180.0705,,61.77,181.0778,,11.839,11.817,11.859,0.031,1.71,9.49,61.77,low score,Warning,2,180.0687,,,Sample,C12 H8 N2,18664,2,Positive,1,1,1,Cpd 6: Phenazine; C12 H8 N2; 11.839,MeOH_Blank_diff_method_200221-0001.d,Instrument 1,P2-A1,Dominic Davis-Foster,Based on Cannabinoids in Urine.m,QualMethod.m,Some Ions Missed
